GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100014340,11/3/2020,1400,11/12/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,D2216,MOIST,Percent Moisture,=,10.4,2,2,PERCENT,
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,50000,20000,NG/KG,
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,17.1,,,PERCENT,VSL
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,15.9,,,PERCENT,VSL
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,54.7,,,PERCENT,
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,69.5,,,PERCENT,
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,57.6,,,PERCENT,
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,44,,,PERCENT,VSL
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,45.8,,,PERCENT,VSL
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,44.4,,,PERCENT,VSL
WDR100014340,11/3/2020,1400,11/20/2020,CS,SO,BIOSOLIDS,0K04050-01/BIOSOLIDS,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,46.9,,,PERCENT,VSL
