GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,BRACETICA,Bromoacetic Acid,ND,0,1,0.71,UG/L,U
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,CAA,Chloroacetic acid,=,6.5,2,1.5,UG/L,
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,DBPP23ACID,"2,3-Dibromopropionic acid",SU,120,,,PERCENT,
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,DBRACETICA,Dibromoacetic Acid,=,4.6,1,0.7,UG/L,
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,DCAA,Dichloroacetic acid,=,30.6,1,0.87,UG/L,
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,HAA5,Haloacetic acids,=,60.6,0,0.19,UG/L,
WDR100000191,1/6/2021,1436,1/11/2021,CS,W,EFF-002,Plant Effluent,E552.2,TCAA,Trichloroacetic acid,=,18.9,1,0.27,UG/L,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,BDCME,Bromodichloromethane,=,22.7,0.5,0.029,UG/L,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,BR4FBZ,4-Bromofluorobenzene,SU,95.1,,,PERCENT,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,DBCME,Dibromochloromethane,=,15.3,0.5,0.086,UG/L,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,FBZ,Fluorobenzene,SU,96.2,,,PERCENT,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,PFBZ,Pentafluorobenzene,SU,103,,,PERCENT,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,TBME,Bromoform,=,1.94,0.5,0.11,UG/L,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,TCLME,Chloroform,=,14.3,0.5,0.067,UG/L,
WDR100000191,1/6/2021,1436,1/15/2021,CS,W,EFF-002,Plant Effluent,E624,THM,Total Trihalomethanes,=,54.2,0,0.033,UG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,1000,1000,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002,INF-002,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,1.6,1.6,NG/L,OU
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002,INF-002,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,1.6,1.6,NG/L,OU
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002,INF-002,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,1.6,1.6,NG/L,OU
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002,INF-002,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,1.6,1.6,NG/L,OU
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002,INF-002,E537,PFBS,Perfluorobutane sulfonate,=,1.9,1.6,1.6,NG/L,OU
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,PFBS,Perfluorobutane sulfonate,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,PFBS,Perfluorobutane sulfonate,=,13,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,PFBS,Perfluorobutane sulfonate,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,PFDOA,Perfluorododecanoic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,PFDOA,Perfluorododecanoic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,PFDOA,Perfluorododecanoic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,PFDSA,Perfluorodecanesulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,PFDSA,Perfluorodecanesulfonic acid,ND,0,1,1,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,PFDSA,Perfluorodecanesulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002-FB,EFF-002-FIELD-BLANK,E537,PFHA,Perfluorohexanoic acid,ND,0,0.9,0.9,NG/L,
WDR100000191,11/24/2020,1000,12/17/2020,CS,W,EFF-002,EFF-002,E537,PFHA,Perfluorohexanoic acid,=,43,1,1,NG/L,
WDR100000191,11/24/2020,1020,12/17/2020,CS,W,INF-002-FB,INF-002-FIELD-BLANK,E537,PFHA,Perfluorohexanoic acid,ND,0,1,1,NG/L,
