GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,90.7,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,71.3,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,84.2,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,102,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,IN,70.5,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C2PFUNDCA,13C2 Perfluoroundecanoic acid,IN,77.6,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,IN,87.1,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C3-PFBS_A,13C3-Perfluorobutane sulfonic acid,IN,97.2,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C3-PFHXS_A,13C3-Perfluorohexane sulfonic acid,IN,83.2,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C3-PFPEA,"Perfluoro-n-[1,2,3,- 13C3]pentanoic acid",IN,87.5,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,IN,139,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,IN,79.2,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C5PFNA,13C5 Perfluorononanoic acid,IN,88.8,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C8-PFOS_A,13C8-Perfluorooctane sulfonic acid,IN,74.8,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,IN,48,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,4.37,4.37,4.37,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,IN,24.1,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,IN,24.2,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,IN,35.5,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,IN,39.5,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,21.8,21.8,21.8,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,21.8,21.8,21.8,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,ND,5.46,5.46,5.46,NG/L,U
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,M2-4:2FTS,"Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2 ] hexane sulfonate (4:2)",IN,80.6,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,M2-6:2FTS,"6:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] octane sulfonate",IN,80.9,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,M2-8:2FTS,"8:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] decane sulfonate",IN,86.4,,,PERCENT,
WDR100001164,10/1/2020,1345,10/16/2020,CS,W,QCEB,6560501,QSMPFAS,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,21.8,21.8,21.8,NG/L,U
