GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,825,3/16/2021,CS,W,EFF-001,Final Effluent (247-21),E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,1000,1000,NG/L,
NPD100051494,3/9/2021,830,3/16/2021,CS,W,INF-001,Influent (245-21),E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,1000,1000,NG/L,
