GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051582,11/3/2020,908,11/11/2020,CS,SO,BIOSOLIDS,2005529-03,D2216,MOIST,Percent Moisture,=,82.4,2,2,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,24,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,24,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,45,,,PERCENT,VSL
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,97.3,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,74.2,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,101,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,83.3,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,89.7,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,153,,,PERCENT,VSH
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,111,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,101,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,107,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,69.6,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,64.7,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,93.2,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,93.1,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,92.2,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,90.5,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,79.1,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,81.2,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,61.2,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,93.9,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,49,,,PERCENT,VSL
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,93.9,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,102,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,101,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,107,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,111,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,96.7,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,83.4,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,78.4,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,101,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,10.8,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,10.8,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,9,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,9,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,20.2,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,20.2,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,23.6,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,23.6,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,26,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,26,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,62.3,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,87.5,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,SU,45.4,,,PERCENT,VSL
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,SU,80,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,SU,93.6,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,SU,71.5,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,SU,87.7,,,PERCENT,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,SU,59.1,,,PERCENT,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,80,60,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,80,60,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,80,60,NG/L,
NPD100051582,11/3/2020,945,11/13/2020,CS,W,INF,2005529-01,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,80,60,NG/L,
NPD100051582,11/3/2020,908,11/13/2020,CS,W,EFF,2005529-02,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,ND,0,80,49,NG/L,
