GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,E300.0,CL,Chloride,=,249,12,0.32,MG/L,
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,E360.1,DO,"Oxygen, Dissolved",=,1.88,0.5,0.5,MG/L,
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,E300.0,NO2N,"Nitrogen, Nitrite",ND,0,0.2,0.069,MG/L,U
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,E300.0,NO3N,"Nitrogen, Nitrate (as N)",=,104,1,0.038,MG/L,
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,A4500HB,PH,pH,=,6.92,0.01,0.01,PH UNITS,
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,E300.0,SO4,Sulfate,=,911,6,0.12,MG/L,
WDR100001453,11/13/2019,1401,11/13/2019,CS,W,MW-1,MW-1,A2550B,TEMP,Temperature,=,66.4,0.1,0.1,DEG F,
WDR100001453,11/13/2019,1401,11/14/2019,CS,W,MW-1,MW-1,A5540C,MBAS,Methylene Blue Active Substances,ND,0,0.1,0.017,MG/L,U
WDR100001453,11/13/2019,1401,11/15/2019,CS,W,MW-1,MW-1,A9223B,COLIFORM,"Coliform, Total",ND,0,1.1,1.1,MPN/100ML,U
WDR100001453,11/13/2019,1401,11/15/2019,CS,W,MW-1,MW-1,A9223B,FCOLIFORM,Fecal Coliform,ND,0,1.1,1.1,MPN/100ML,U
WDR100001453,11/13/2019,1401,11/15/2019,CS,W,MW-1,MW-1,A2540C,TDS,Total Dissolved Solids,=,2840,20,3.8,MG/L,
WDR100001453,11/13/2019,1401,11/18/2019,CS,W,MW-1,MW-1,A4500NG,NH3N,"Nitrogen, Ammonia (as N)",ND,0,0.1,0.1,MG/L,U
WDR100001453,11/13/2019,1401,11/18/2019,CS,W,MW-1,MW-1,A4500NG,ON,Organic Nitrogen,ND,0,0.5,0.1,MG/L,U
WDR100001453,11/13/2019,1401,11/19/2019,CS,W,MW-1,MW-1,A5210B,BOD5,"Biologic Oxygen Demand, Five-Day",ND,0,2,0.19,MG/L,U
WDR100001453,11/13/2019,1401,11/19/2019,CS,W,MW-1,MW-1,A5310C,TOC,Total Organic Carbon  (TOC),=,0.9,0.3,0.15,MG/L,
WDR100001453,11/13/2019,1401,11/27/2019,CS,W,MW-1,MW-1,E1664A,OILGREASE,Oil and Grease,ND,0,3,1.49,MG/L,U
WDR100001453,11/13/2019,1401,12/2/2019,CS,W,MW-1,MW-1,A4500PE,P,"Phosphorus, Total (as P)",=,0.1,0.1,0.0086,MG/L,
WDR100001453,11/13/2019,1401,12/30/2019,CS,W,MW-1,MW-1,E200.7,B,Boron,=,1.2,0.1,0.012,MG/L,
WDR100001453,11/13/2019,1401,12/30/2019,CS,W,MW-1,MW-1,E200.7,CU,Copper,ND,0,10,0.78,UG/L,U
