GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,21.4,,,PERCENT,VSL
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,136,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,121,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,93.6,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,129,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,146,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,26,,,PERCENT,VSL
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,116,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,75.6,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,146,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,139,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,74.4,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,124,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,144,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,64,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,96.7,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,123,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,119,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,208,,,PERCENT,VSH
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,114,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,72.4,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,81,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,123,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,119,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,118,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,44.6,,,PERCENT,VSL
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,126,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,50,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,101,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,119,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,75.6,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,113,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,81.2,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,123,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,136,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,58.1,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,123,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,119,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,62.3,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,106,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,45,,,PERCENT,VSL
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,125,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,118,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,53.8,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,104,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,95.7,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,41.4,,,PERCENT,VSL
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,118,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,123,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,130,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,116,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,123,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,122,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,96.5,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,25.9,,,PERCENT,VSL
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,72.7,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,129,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,111,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,121,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,85.5,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,113,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,128,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,117,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,109,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,106,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,124,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,112,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,99.4,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,55.3,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,83.1,,,PERCENT,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,125,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,119,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,141,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,77.8,,,PERCENT,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,103,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,80,80,NG/L,
NPD100051576,1/12/2021,1040,1/19/2021,CS,W,FIELD BLANK,2100301-06,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,102,,,PERCENT,
NPD100051576,1/12/2021,1007,1/19/2021,CS,W,INFLUENT,2100301-01,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,25.4,,,PERCENT,VSL
NPD100051576,1/12/2021,1004,1/19/2021,CS,W,FINAL EFFLUENT,2100301-03,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,104,,,PERCENT,
NPD100051576,1/12/2021,1045,1/19/2021,CS,W,INF EQUIP BLANK,2100301-02,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,116,,,PERCENT,
NPD100051576,1/12/2021,1043,1/19/2021,CS,W,FE EQUIP BLANK,2100301-04,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,SU,92.8,,,PERCENT,
