GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100000869,11/3/2020,740,11/11/2020,CS,SO,BIOSOLIDS,0K03095-01/BIOSOLIDS,D2216,MOIST,Percent Moisture,=,62.6,2,2,PERCENT,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,0.84,0.84,NG/L,LR
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,0.9,0.9,NG/L,LR
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,0,0.88,0.88,NG/L,LR
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,0.84,0.84,NG/L,CL
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,0.9,0.9,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,0,0.88,0.88,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,0.88,0.88,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,0.84,0.84,NG/L,CL
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,0.9,0.9,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,HFPA-DA,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,0.84,0.84,NG/L,CL
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,0.9,0.9,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,0,0.88,0.88,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,0.88,0.88,NG/L,SN
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,0.9,0.9,NG/L,SN
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,0.84,0.84,NG/L,CL
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCFB-INF,Field Blank,E537,PFBS,Perfluorobutane sulfonate,ND,0,0.88,0.88,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,PFBS,Perfluorobutane sulfonate,ND,0,0.9,0.9,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,QCEB-INF,Equipment Blank,E537,PFBS,Perfluorobutane sulfonate,ND,0,0.84,0.84,NG/L,
WDR100000869,11/3/2020,800,11/19/2020,CS,W,INFLUENT,Influent,E537,PFDOA,Perfluorododecanoic acid,ND,0,1000,1000,NG/L,
WDR100000869,11/3/2020,740,11/19/2020,CS,W,QCFB-BIO,Field Blank,E537,PFDOA,Perfluorododecanoic acid,ND,0,0.9,0.9,NG/L,
